postcode,jobs
BR1,271
BR2,279
BR3,327
BR4,30
BR5,149
BR6,129
BR7,100
BR8,27
CM1,14
CM11,5
CM12,3
CM13,35
CM14,39
CM15,13
CM16,13
CM17,11
CM18,9
CM19,2
CM2,11
CM20,20
CM21,1
CM3,4
CM5,1
CR0,894
CR2,236
CR3,95
CR4,277
CR5,134
CR6,23
CR7,194
CR8,201
DA1,240
DA10,95
DA11,84
DA12,63
DA13,7
DA14,71
DA15,65
DA16,87
DA17,58
DA18,4
DA2,16
DA3,10
DA4,6
DA5,35
DA6,56
DA7,114
DA8,176
DA9,50
E1,1094
E10,356
E11,404
E12,118
E13,240
E14,1738
E15,487
E16,882
E17,1057
E18,106
E1W,283
E2,952
E20,161
E3,994
E4,232
E5,560
E6,269
E7,223
E8,978
E9,696
EC1,973
EC2,442
EC3,78
EC4,117
EN1,121
EN10,25
EN11,25
EN2,104
EN3,181
EN4,141
EN5,172
EN6,50
EN7,33
EN8,57
EN9,32
HA0,163
HA1,250
HA2,224
HA3,152
HA4,143
HA5,218
HA6,75
HA7,93
HA8,211
HA9,331
IG1,152
IG10,71
IG11,316
IG2,75
IG3,102
IG4,21
IG5,35
IG6,49
IG7,52
IG8,182
IG9,51
KT1,138
KT10,74
KT11,40
KT12,103
KT13,66
KT14,22
KT15,41
KT16,35
KT17,49
KT18,42
KT19,66
KT2,163
KT20,42
KT21,8
KT22,46
KT23,5
KT24,9
KT3,207
KT4,69
KT5,60
KT6,150
KT7,32
KT8,75
KT9,26
N1,2215
N10,256
N11,176
N12,134
N13,114
N14,125
N15,293
N16,748
N17,371
N18,99
N19,371
N2,179
N20,137
N21,73
N22,313
N3,209
N4,692
N5,508
N6,340
N7,656
N8,502
N9,106
NW1,1031
NW10,880
NW11,270
NW2,446
NW3,1097
NW4,183
NW5,406
NW6,1100
NW7,272
NW8,636
NW9,496
RM1,45
RM10,106
RM11,86
RM12,61
RM13,124
RM14,17
RM15,38
RM16,63
RM17,45
RM18,20
RM19,37
RM2,51
RM20,58
RM3,133
RM4,8
RM5,28
RM6,90
RM7,75
RM8,134
RM9,131
SE1,1646
SE10,788
SE11,340
SE12,208
SE13,481
SE14,313
SE15,809
SE16,793
SE17,394
SE18,648
SE19,385
SE2,138
SE20,208
SE21,168
SE22,430
SE23,523
SE24,302
SE25,268
SE26,307
SE27,166
SE28,121
SE3,309
SE4,304
SE5,643
SE6,368
SE7,184
SE8,347
SE9,263
SL0,4
SL3,14
SL4,1
SL9,11
SM1,206
SM2,93
SM3,50
SM4,138
SM5,114
SM6,157
SM7,25
SW1,1381
SW10,630
SW11,1751
SW12,656
SW13,196
SW14,148
SW15,564
SW16,717
SW17,864
SW18,1075
SW19,939
SW2,746
SW20,258
SW3,844
SW4,807
SW5,421
SW6,1559
SW7,610
SW8,610
SW9,659
TN1,2
TN10,4
TN11,10
TN12,5
TN13,59
TN14,14
TN15,31
TN16,10
TN2,7
TN4,7
TN8,10
TN9,15
TW1,241
TW10,176
TW11,156
TW12,98
TW13,69
TW14,58
TW15,39
TW16,48
TW17,23
TW18,82
TW19,20
TW2,129
TW20,41
TW3,152
TW4,64
TW5,43
TW6,7
TW7,172
TW8,259
TW9,302
UB1,58
UB10,88
UB2,125
UB3,145
UB4,78
UB5,81
UB6,135
UB7,105
UB8,126
UB9,12
W1,4854
W2,1353
W3,610
W4,678
W5,405
W6,565
W7,116
W8,586
W9,670
WC1,426
WC2,317
WD17,94
WD18,83
WD19,59
WD23,58
WD24,38
WD25,
WD3,
WD4,
WD5,
WD6,
WD7,
